"","sector","poll","value_tab","value_nc","diff_ratio","status"
"64","livestock","SO2",0,0,NA,"PASS"
"65","livestock","NOx",0,0,NA,"PASS"
"66","livestock","CO",0,0,NA,"PASS"
"67","livestock","NMVOC",0,0,NA,"PASS"
"68","livestock","NH3",673572.202495879,670204.860726425,0.0049992291204662,"PASS"
"69","livestock","PM",0,0,NA,"PASS"
"70","livestock","CH4",0,0,NA,"PASS"
"71","livestock","BC",0,0,NA,"PASS"
"72","livestock","OC",0,0,NA,"PASS"
"73","power","SO2",1503386.80391951,1499631.40057571,0.00249796215718025,"PASS"
"74","power","NOx",994844.099128649,975691.873907447,0.0192514839641474,"PASS"
"75","power","CO",117918.056503531,115453.13827727,0.020903653768986,"PASS"
"76","power","NMVOC",29481.5372236772,28865.1932950504,0.0209060987542991,"PASS"
"77","power","NH3",1147.95475525358,1109.2824734305,0.0336879843444087,"PASS"
"78","power","PM",34142.0394043158,33177.2589736897,0.028257844213726,"PASS"
"79","power","CH4",51440.4719997063,50466.0568746552,0.0189425774525681,"PASS"
"80","power","BC",78.0210523168734,76.522919669078,0.0192016462647918,"PASS"
"81","power","OC",724.458492478863,710.661108564818,0.0190450992807526,"PASS"
"82","shipping","SO2",5239.93999915203,5239.93980646133,3.67734552164311e-08,"PASS"
"83","shipping","NOx",7679.59004410133,7679.59019601345,1.97812794810417e-08,"PASS"
"84","shipping","CO",585.071211758333,585.071210190654,2.67946809727651e-09,"PASS"
"85","shipping","NMVOC",0,0,NA,"PASS"
"86","shipping","NH3",0,0,NA,"PASS"
"87","shipping","PM",1289.2572723069,1289.25726726651,3.90952848632437e-09,"PASS"
"88","shipping","CH4",0,0,NA,"PASS"
"89","shipping","BC",173.753597766067,173.753599952906,1.25858670446155e-08,"PASS"
"90","shipping","OC",246.6067399705,246.606736499816,1.40737589837595e-08,"PASS"
"91","solidwaste","SO2",1959.4356731253,1959.43567190213,6.2424599669e-10,"PASS"
"92","solidwaste","NOx",11756.6140387518,11756.6140555164,1.42597174383709e-09,"PASS"
"93","solidwaste","CO",164592.596542525,164592.596865183,1.96033971907175e-09,"PASS"
"94","solidwaste","NMVOC",58783.070193759,58783.0699881579,3.49762364478596e-09,"PASS"
"95","solidwaste","NH3",3683.73906547556,3683.73905203879,3.64758972582816e-09,"PASS"
"96","solidwaste","PM",69755.9099632607,69755.91009419,1.87696479900773e-09,"PASS"
"97","solidwaste","CH4",25472.6637506289,25472.6637505934,1.39491257595655e-12,"PASS"
"98","solidwaste","BC",21553.7924043783,21553.7923771759,1.26206724187879e-09,"PASS"
"99","solidwaste","OC",21553.7924043783,21553.7923771759,1.26206724187879e-09,"PASS"
"100","transport","SO2",135404.116103471,133544.112892893,0.0137366814547671,"PASS"
"101","transport","NOx",2028440.71654583,2026673.16735605,0.000871383213402369,"PASS"
"102","transport","CO",4645936.27159887,4573882.4906965,0.0155089903714003,"PASS"
"103","transport","NMVOC",1913413.10249322,1873329.72260925,0.0209486283080942,"PASS"
"104","transport","NH3",59458.8302328528,59398.2501978224,0.00101885682569312,"PASS"
"105","transport","PM",418951.120317056,415139.43314625,0.00909816679311267,"PASS"
"106","transport","CH4",30965.0913224118,30754.5082276316,0.00680066118932585,"PASS"
"107","transport","BC",40324.8231409631,40056.5737027647,0.00665221611166572,"PASS"
"108","transport","OC",144065.749721793,142572.972182,0.0103617795532635,"PASS"
